Date,AAPL,GE,PFE,XOM,^GSPC
2008-12-31,-56.91136446030094,-54.42580074422061,-16.95789516165306,-13.107521513510035,-38.485793060906715
2009-12-31,146.90104576191226,-0.6207514293324112,8.200126034412936,-12.605018840975202,23.45419048834072
2010-12-31,53.067871336057436,24.120000124890908,0.31507903687595373,10.128939191212494,12.782713853760175
2011-12-31,25.55808774070616,1.155469546614185,28.784132370420366,18.66767291919482,-0.0031836663936912757
2012-12-31,32.566859465374385,21.65808510894236,20.42517642615449,4.701324911362836,13.40569092662105
2013-12-31,8.06953573115674,38.000832655220364,26.20622858951367,20.118366516932994,29.601249573324353
2014-12-31,40.622500238144,-6.7862282069895645,5.276441790508124,-6.055940717182096,11.390633786748117
2015-12-31,-3.0137058155943364,27.77454383983109,7.087937617151141,-12.79176804290313,-0.7265997205823549
2016-12-31,12.480436638390024,4.612181690421435,4.424896149247259,19.882079722361603,9.535022667283656
2017-12-31,48.464280298363846,-42.880964756101605,15.901749302930668,-3.806900361718657,19.419965523287928
2018-12-31,-5.390168385450355,-55.14348406992078,24.8189151697231,-15.093338400305022,-6.2372598496206795
2019-12-31,88.95782542433442,54.00882499467765,-6.907907894166954,7.232877540649119,28.878070225158446
2020-12-31,82.30672440692,-2.736023428008083,3.0694875723348947,-36.211025872116444,16.258923055706177
2021-12-31,34.648187783710036,9.690157763941954,66.69508068333008,57.57553894173333,26.89273866137125
2022-12-31,-26.404201551939387,-10.93130460582542,-10.407994860527136,87.40907725296809,-19.442827203429268
2023-12-31,49.00806137415166,95.77847718195709,-41.26409966883477,-6.2615307341709165,24.230500797629894
2024-12-31,30.376422422413007,62.6961567456831,-5.018231626437675,8.241482622818452,23.00396412509782
